Samples,consensus_5,consensus_4,consensus_1,consensus_2,consensus_3
P-0000241-T01-IM3,48.70239973038486,13.23691251358186,2.875367713814643,8.0564028351908,1.2802862536862443
P-0000590-T01-IM3,46.016410778339754,26.540696398153692,2.2297939677328773,0.0,26.577006490343805
P-0000093-T01-IM3,37.475485530527095,103.7176217018957,39.64321018400127,5.288628337585548,12.446247476145427
P-0000098-T01-IM3,62.17722160520529,0.0,4.465526733647299,2.59098584882345,12.68935072633058
P-0000082-T01-IM3,59.40831995832999,12.901145688752294,1.0584244496454063,0.0,22.06859693170027
P-0000077-T01-IM3,52.941930543647175,22.024018535173816,3.065452829818981,3.8041634622152354,12.941435274414903
P-0000081-T01-IM3,58.871950810213406,0.0,0.8682581402640365,2.479139009372516,9.165106299890258
P-0000110-T01-IM3,59.57074482125669,21.761152080915895,0.0,6.012046255524936,12.126679080303688
P-0000119-T01-IM3,41.83184303626022,47.61565472628316,8.428359282474824,6.1947800415245515,14.241860478600012
P-0000120-T01-IM3,51.009023355409916,36.83484497801262,17.35173823590915,9.8021466124117,0.0
P-0000131-T01-IM3,52.88538442832217,28.896413707402356,0.0,5.597665975695831,12.268035301821305
P-0000126-T01-IM3,50.25159108934395,64.73520449536241,2.1157361070465734,0.23550941525216468,39.692920538042856
P-0000142-T01-IM3,11.314042607486504,279.49614638936424,0.0,5.285896020086353,36.35313659137853
P-0000129-T01-IM3,48.94216642200593,6.469222874034579,15.086053621343215,6.399014619073987,0.0
P-0000104-T01-IM3,55.02880776389491,25.863848565228533,5.079229784264174,0.0,20.61910312969791
P-0000140-T01-IM3,39.53878877144283,81.16109334141227,24.486025790893112,2.6311892516384154,20.45022786266175
P-0000133-T01-IM3,61.48686779106873,0.0,0.0,8.373198155169538,0.0
P-0000107-T01-IM3,50.72426916465082,21.300899043294518,0.0,3.207979249922049,3.761014547559443
P-0000125-T01-IM3,43.76488163867183,78.49330753484269,0.0,4.734679544014415,0.0
P-0000414-T01-IM3,61.98469738612786,16.131312064828673,0.47647543911744017,12.450348538146319,0.856998729713108
P-0000152-T01-IM3,58.75601156125801,0.0,3.526834840659723,3.9467072663856277,4.693437729447216
P-0000158-T01-IM3,72.7443049261968,18.196519418577864,0.0,0.0,6.662687131936222
P-0000165-T01-IM3,46.543440588609,18.901505094097224,9.390314945400318,7.184716938141223,0.0
P-0000168-T01-IM3,57.450554669118375,0.0,0.0,1.3221420251369866,0.0
P-0000149-T01-IM3,48.4325699489001,14.140081933703565,0.7080819139798827,0.0,17.49910616108701
P-0000163-T01-IM3,55.54232202515912,0.0,0.0,0.0,0.0
P-0000167-T01-IM3,48.39128801746697,20.08483254399601,0.0,0.0,6.810161643380376
P-0003922-T01-IM3,52.90542590424451,29.636598300472986,0.0,4.586456478225007,2.937372505027486
P-0000201-T01-IM3,46.54468777331416,27.281298995796014,15.403959117011551,5.660488847779717,0.0
P-0000205-T01-IM3,55.2172067968738,20.758563916042238,9.783739587454168,0.9374355275285635,10.91879599422744
